Names	Year	Title	Misc	
Abelson S, Shamai Y, Berger L, Skorecki K, Tzukerman M	2013	Niche-dependent gene expression profile of intratumoural heterogeneous ovarian cancer stem cell populations.	PLOS ONE 8(12):e83651	.
Adewumi O, Aflatoonian B, Ährlund-Richter L, Amit M , Andrews PW, Beighton G, Bello PA, Benvenisty  N, Berry LS, Bevan S	2007	Characterization of human embryonic stem cell lines by the International Stem Cell Initiative.	Nat. Biotechnol 25, 803-816	.
Adhikary S, Eilers M	2005	Transcriptional regulation and transformation by Myc proteins.	Nat Rev Mol Cell Biol 6, 635-645	.
Aguzzi A, Wagner EF, Williams RL, Courtneidge SA	1990	Sympathetic hyperplasia and neuroblastomas in transgenic mice expressing polyoma middle T antigen.	New Biol 2, 533- 543	.
Albihn A, Johnsen JI, Henriksson MA.	2010	MYC in oncogenesis and as a target for cancer therapies.	Adv Cancer Res 107:163-224	.
Alexandrov LB, Stratton MR	2014	Mutational signatures: the patterns of somatic mutations hidden in cancer genomes.	 Curr Opin Genet Dev 24:52-60	.
Almendro V, Marusyk A, Polyak K.	2013	Cellular heterogeneity and molecular evolution in cancer.	Annu. Rev. Pathology 8, 277-302	.
Barone G, Anderson J, Pearson AD, Petrie K, Chesler L	2013	New strategies in neuroblastoma: Therapeutic targeting of MYCN and ALK.	Clin cancer Res 19(21):5814-21	
Beck B, Blanpain C	2013	Unravelling cancer stem cell potential.	Nature Reviews Cancer 13, 727-738	
Bénard J, Raguénez G, Kauffmann A, Valent A, Ripoche H, Joulin V, Job B, Danglot G, Cantais S, Robert T, Terrier-Lacombe MJ, Chassevent A, Koscielny S,Fischer M, Berthold F, Lipinski M, Tursz T, Dessen P, Lazar V, Valteau-Couanet D.	2009	MYCN-non-amplified metastatic neuroblastoma with good prognosis and spontaneous regression: a molecular portrait of stage 4S.	Mol Oncology 2(3):261-71	.
Brinster RL, Chen HY, Trumbauer M, Senear AW, Warren R, Palmiter RD.	1981	Somatic expression of herpes thymidine kinase in mice following injection of a fusion gene into eggs.	Cell 27 (1 Pt 2): 223-231	.
Brivanlou AH, Gage FH, Jaenisch R, Jessell T, Melton D, Rossant J.	2003	Stem cells. Setting standards for human embryonic stem cells.	Science 300, 913-916	.
Brodeur GM	2003	Neuroblastoma: biological insights into a clinical enigma.	Nat Rev Cancer 3(3):203-216	.
Brodeur GM, Bagatell R	2014	Mechanisms of neuroblastoma regression.	Nat Rev Clin Oncology 11(12):704-13	.
Brodeur GM, Fong CT, Morita M, Griffith R, Hayes FA, Seeger RC	1988	Molecular analysis and clinical significance of N-myc amplification and chromosome 1p monosomy in human neuroblastomas.	Prog Clin Biol Res. 271:3-15	.
